State, FIPS,Met_Healthy_People_Objective of,"Age_Adjusted_Incidence_Rate_cases_per_100,000","Lower_95%_Confidence_Interval","Upper_95%_Confidence_Interval",Average_Annual_Count,Recent_Trend,"Recent_5_Year_Trend_in_Incidence_Rates","Lower_95%_Confidence_Interval","Upper_95%_Confidence_Interval"
"Renville County, North Dakota(6,10)",38075,***,2463.6 ,1858.1, 3199.6,11,stable,6.8 ,-2.5, 17.0
"Woodruff County, Arkansas(6,10)",05147,***,2459.6 ,2098.3, 2864.8,34,stable,9.0 ,-10.0, 31.8
"Flathead County, Montana(6,10)",30029,***,2455.3 ,2344.2, 2570.3,381,stable,-1.8 ,-4.2, 0.6
"Erie County, New York(7,8)",36029,***,2453 ,2417.3, 2489.1,3701,stable,0.2 ,-0.2, 0.5
"Estill County, Kentucky(7,8)",21065,***,2451.4 ,2173.9, 2755,59,stable,-0.2 ,-1.5, 1.1
"Mercer County, Kentucky(7,8)",21167,***,2450 ,2224.8, 2691.7,89,stable,-0.4 ,-1.5, 0.7
"Miner County, South Dakota(6,10)",46097,***,2449.6 ,1853.9, 3175.2,12,stable,7.7 ,-33.1, 73.4
"Gloucester County, New Jersey(7,8)",34015,***,2447.9 ,2378.5, 2518.7,976,falling,-10.1 ,-15.8, -4.0
"Grundy County, Illinois(6,10)",17063,***,2447.5 ,2273.7, 2631,151,stable,-1.6 ,-7.6, 4.7
"Powell County, Kentucky(7,8)",21197,***,2447.4 ,2119.4, 2812.5,42,stable,-0.4 ,-2.6, 1.9
"Scott County, Illinois(6,10)",17171,***,2444.3 ,2023, 2927.4,24,stable,-7.0 ,-21.4, 10.0
"Alexander County, Illinois(6,10)",17003,***,2441.1 ,2083.2, 2842.9,33,stable,-0.7 ,-6.5, 5.4
"Lawrence County, Kentucky(7,8)",21127,***,2440.4 ,2164.3, 2742.1,59,stable,-0.0 ,-1.3, 1.3
"Fulton County, Kentucky(7,8)",21075,***,2437.1 ,2054.1, 2870.4,29,stable,0.8 ,-1.0, 2.7
"Fulton County, New York(7,8)",36035,***,2431.6 ,2291.2, 2578.4,231,stable,-0.3 ,-1.2, 0.6
"Cerro Gordo County, Iowa(7,8)",19033,***,2430.5 ,2281.6, 2586.4,206,stable,0.2 ,-0.3, 0.6
"Warren County, New York(7,8)",36113,***,2426.2 ,2304.2, 2552.9,304,stable,-0.4 ,-1.5, 0.6
"Union County, South Dakota(6,10)",46127,***,2425.1 ,2141.3, 2735.7,55,stable,-5.6 ,-19.4, 10.6
"Wilkinson County, Mississippi(6,10)",28157,***,2424.9 ,2069.7, 2823.4,34,stable,7.3 ,-18.4, 41.1
"Orleans County, New York(7,8)",36073,***,2422.2 ,2255, 2598.6,159,stable,-0.1 ,-1.2, 1.0
"Union County, Kentucky(7,8)",21225,***,2421.8 ,2131.4, 2740.4,52,stable,1.0 ,-0.6, 2.5
"Allegany County, New York(7,8)",36003,***,2419.7 ,2268, 2578.8,193,stable,-0.3 ,-1.0, 0.5
"Salem County, New Jersey(7,8)",34033,***,2418.8 ,2285.7, 2557.6,256,falling,-0.7 ,-1.2, -0.2
"Brookings County, South Dakota(6,10)",46011,***,2418.1 ,2189.5, 2663.8,84,stable,2.8 ,-8.5, 15.4
"Washington County, Kentucky(7,8)",21229,***,2416.5 ,2116.5, 2747,47,stable,0.5 ,-1.6, 2.6
"Suffolk County, New York(7,8)",36103,***,2416.5 ,2387.4, 2445.8,5404,falling,-1.1 ,-1.6, -0.6
"Dickinson County, Iowa(7,8)",19059,***,2415.3 ,2202.5, 2643.1,97,stable,-0.2 ,-0.8, 0.3
"Bradley County, Arkansas(6,10)",05011,***,2414 ,2116.9, 2740.9,48,stable,-6.2 ,-23.2, 14.6
"Saratoga County, New York(7,8)",36091,***,2413.1 ,2339, 2488.9,834,stable,-0.3 ,-0.8, 0.1
"Forest County, Wisconsin(6,10)",55041,***,2413 ,2113.3, 2743.3,47,stable,4.0 ,-12.6, 23.7
"Custer County, Montana(6,10)",30017,***,2412.3 ,2122.6, 2730.1,52,stable,-1.4 ,-15.3, 14.8
"Perry County, Kentucky(7,8)",21193,***,2411.6 ,2200.4, 2637.9,100,stable,0.0 ,-1.3, 1.3
"Morgan County, Indiana(6,10)",18109,***,2410.3 ,2274.2, 2552.4,244,stable,1.7 ,-1.2, 4.7
"Adams County, Iowa(7,8)",19003,***,2409.7 ,1961.4, 2929.1,20,stable,0.6 ,-0.6, 1.8
"Mingo County, West Virginia(6,10)",54059,***,2409.2 ,2190.2, 2644.2,94,stable,-1.9 ,-17.3, 16.5
"Grant County, Kentucky(7,8)",21081,***,2408.7 ,2156.6, 2682.2,70,stable,0.2 ,-0.8, 1.3
"Towns County, Georgia(7,8)",13281,***,2408.6 ,2185.1, 2648.8,85,stable,-0.0 ,-1.1, 1.1
"Macon County, Illinois(6,10)",17115,***,2407.7 ,2309.4, 2509.1,463,stable,-1.0 ,-4.8, 2.9
"Bullitt County, Kentucky(7,8)",21029,***,2406.6 ,2269, 2550.4,244,stable,-0.2 ,-1.1, 0.6
"Swain County, North Carolina(6,10)",37173,***,2402.2 ,2135.8, 2692.7,61,stable,0.8 ,-14.4, 18.7
"Morton County, North Dakota(6,10)",38059,***,2401.8 ,2196.9, 2620.6,104,stable,-2.6 ,-16.0, 12.8
"Henry County, Kentucky(7,8)",21103,***,2401.4 ,2129.9, 2698.4,59,stable,-0.3 ,-1.8, 1.2
"Green County, Kentucky(7,8)",21087,***,2400.7 ,2110.8, 2719.3,50,stable,1.2 ,-0.6, 3.1
"Sheridan County, North Dakota(6,10)",38083,***,2398.9 ,1758.5, 3193.2,9,stable,-10.1 ,-37.1, 28.4
"Christian County, Illinois(6,10)",17021,***,2395.6 ,2225.3, 2575.4,149,stable,4.7 ,-5.6, 16.1
"Oldham County, Kentucky(7,8)",21185,***,2395.1 ,2227, 2572.6,168,stable,-0.9 ,-1.9, 0.1
"Daviess County, Kentucky(7,8)",21059,***,2391.5 ,2282.7, 2504.1,370,stable,-0.1 ,-0.7, 0.6
"Shelby County, Kentucky(7,8)",21211,***,2390.3 ,2216.1, 2574.6,148,stable,-0.0 ,-1.2, 1.2
"Jefferson County, New York(7,8)",36045,***,2386.9 ,2271.7, 2506.4,330,stable,-0.5 ,-1.1, 0.1
"Marion County, Kentucky(7,8)",21155,***,2385.9 ,2131.1, 2662.4,66,stable,-0.4 ,-1.4, 0.6
"Hardin County, Kentucky(7,8)",21093,***,2383.8 ,2265.6, 2506.5,312,stable,-0.3 ,-1.0, 0.4
"Dundy County, Nebraska(6,10)",31057,***,2381.6 ,1750.9, 3161.3,10,stable,5.9 ,-22.7, 45.1
"Lincoln County, Montana(6,10)",30053,***,2380.3 ,2182.2, 2591.8,112,stable,1.4 ,-7.6, 11.4
"Rensselaer County, New York(7,8)",36083,***,2377.6 ,2289.2, 2468.6,564,falling,-0.7 ,-1.2, -0.1
"Jefferson County, Kentucky(7,8)",21111,***,2377.2 ,2335.9, 2419.1,2586,falling,-0.6 ,-0.9, -0.3
"Bourbon County, Kentucky(7,8)",21017,***,2375.3 ,2147.5, 2620.8,81,stable,-0.5 ,-2.0, 0.9
"Tunica County, Mississippi(6,10)",28143,***,2374 ,1968.3, 2839.4,25,stable,-6.1 ,-20.0, 10.2
"Niagara County, New York(7,8)",36063,***,2374 ,2302.6, 2446.9,861,falling,-0.5 ,-0.8, -0.1
"Oswego County, New York(7,8)",36075,***,2374 ,2269.6, 2481.9,402,falling,-0.8 ,-1.6, -0.1
"Upson County, Georgia(7,8)",13293,***,2373.2 ,2175.6, 2584.1,109,stable,0.5 ,-0.7, 1.7
"Lee County, Georgia(7,8)",13177,***,2373.1 ,2118.8, 2649.9,70,stable,0.8 ,-0.9, 2.6
"Montgomery County, New York(7,8)",36057,***,2372.5 ,2224.4, 2527.8,202,stable,-0.3 ,-1.1, 0.6
"Union County, Georgia(7,8)",13291,***,2370.4 ,2204.9, 2545.1,155,stable,0.1 ,-1.1, 1.2
"La Salle County, Illinois(6,10)",17099,***,2370 ,2272.2, 2470.8,453,stable,-1.4 ,-5.2, 2.6
"Henry County, Missouri(6,10)",29083,***,2370 ,2171.1, 2582.1,106,stable,0.5 ,-6.9, 8.5
"Clarke County, Iowa(7,8)",19039,***,2368.4 ,2037.1, 2737.8,37,stable,0.9 ,-0.2, 2.0
"Lincoln County, Kentucky(7,8)",21137,***,2367.7 ,2159.1, 2591.2,96,stable,-0.1 ,-0.8, 0.5
"Yalobusha County, Mississippi(6,10)",28161,***,2367.2 ,2090.2, 2671,54,stable,-4.7 ,-15.9, 7.9
"Broadwater County, Montana(6,10)",30007,***,2367.2 ,1980.3, 2807.8,27,stable,0.1 ,-20.2, 25.4
"Franklin County, Illinois(6,10)",17055,***,2367 ,2213.6, 2528.2,179,stable,-2.1 ,-11.1, 7.7
"Benton County, Missouri(6,10)",29015,***,2363.4 ,2180.4, 2557.8,126,stable,-0.9 ,-8.9, 7.9
"Scott County, Kentucky(7,8)",21209,***,2363 ,2177.7, 2559.9,126,stable,0.4 ,-0.5, 1.4
"Trousdale County, Tennessee(6,10)",47169,***,2361.3 ,1984.2, 2789.6,29,stable,-4.6 ,-32.2, 34.3
"Wapello County, Iowa(7,8)",19179,***,2360.9 ,2188, 2543.6,141,stable,-0.2 ,-0.5, 0.2
"Northampton County, Pennsylvania(6,10)",42095,***,2360.8 ,2300.5, 2422.1,1212,falling,-2.3 ,-4.2, -0.3
"Petersburg City, Virginia(6,10)",51730,***,2359.3 ,2172.6, 2557.7,121,stable,0.3 ,-5.8, 6.7
"Shelby County, Indiana(6,10)",18145,***,2358.7 ,2196.6, 2529.7,160,stable,5.8 ,-2.1, 14.3
"Pendleton County, Kentucky(7,8)",21191,***,2358.1 ,2064.6, 2681.8,48,stable,0.6 ,-0.9, 2.2
"Logan County, West Virginia(6,10)",54045,***,2357.2 ,2182.8, 2541.8,140,stable,1.1 ,-0.9, 3.0
"Burlington County, New Jersey(7,8)",34005,***,2357 ,2305.3, 2409.5,1619,falling,-8.5 ,-13.3, -3.5
"Jefferson County, Indiana(6,10)",18077,***,2354.8 ,2167.3, 2554.2,120,stable,-5.8 ,-16.8, 6.6
"Chenango County, New York(7,8)",36017,***,2350.5 ,2209.8, 2497.9,213,stable,-0.0 ,-0.7, 0.6
"Franklin County, Mississippi(6,10)",28037,***,2349.8 ,2001.6, 2741.2,33,stable,3.2 ,-31.0, 54.3
"Cecil County, Maryland(6,10)",24015,***,2348.7 ,2232.8, 2469.1,322,stable,-0.2 ,-5.5, 5.5
"Adams County, Wisconsin(6,10)",55001,***,2348.5 ,2164.5, 2544.2,125,stable,-2.3 ,-10.1, 6.1
"Caldwell Parish, Louisiana(7,8)",22021,***,2347.7 ,2025.6, 2706.9,39,stable,-0.5 ,-2.4, 1.3
"Gem County, Idaho(7,8)",16045,***,2347 ,2120.8, 2590.9,80,stable,0.0 ,-1.1, 1.2
"Sussex County, New Jersey(7,8)",34037,***,2343.6 ,2248.3, 2441.8,481,falling,-1.2 ,-1.7, -0.7
"Southeast Fairbanks Census Area, Alaska(6,10)",02240,***,2341.6 ,1861.9, 2911.1,19,stable,4.7 ,-26.0, 48.1
"Monmouth County, New Jersey(7,8)",34025,***,2341.4 ,2297.5, 2385.9,2253,falling,-8.4 ,-13.6, -2.8
"Walworth County, Wisconsin(6,10)",55127,***,2341.3 ,2232.8, 2453.7,360,stable,-0.5 ,-4.6, 3.8
"Vinton County, Ohio(6,10)",39163,***,2340.8 ,2051.1, 2660.6,49,stable,3.5 ,-8.5, 17.0
"Morgan County, Illinois(6,10)",17137,***,2340.8 ,2171.2, 2519.9,145,stable,2.9 ,-2.7, 8.7
"White County, Illinois(6,10)",17193,***,2339.8 ,2099.8, 2599.5,70,stable,-0.3 ,-13.7, 15.1
"Lewis County, New York(7,8)",36049,***,2339.5 ,2140.3, 2552.2,103,stable,-0.2 ,-1.4, 1.0
"Sheridan County, Montana(6,10)",30091,***,2339.2 ,1871.9, 2887.1,18,stable,8.5 ,-1.6, 19.6
"Campbell County, Kentucky(7,8)",21037,***,2338.9 ,2219.7, 2462.8,295,stable,-0.6 ,-1.2, 0.0
"Jefferson County, Washington(7,8)",53031,***,2338.8 ,2196.3, 2488.2,212,falling,-0.5 ,-1.0, -0.1
"Grand Traverse County, Michigan(6,10)",26055,***,2337.1 #  ,2227.1, 2451.2,350,falling,-3.5 ,-5.9, -1.0
"Monroe County, Kentucky(7,8)",21171,***,2337 ,2038.8, 2667,45,stable,1.5 ,-0.5, 3.6
"Carter County, Kentucky(7,8)",21043,***,2336.7 ,2139.5, 2547.4,106,stable,-0.1 ,-1.4, 1.2
"Wayne County, Missouri(6,10)",29223,***,2336.5 ,2094.8, 2598.6,69,stable,-4.8 ,-10.7, 1.5
"Clay County, Florida(6,10)",12019,***,2335.7 ,2252.3, 2421.4,623,stable,-0.8 ,-4.0, 2.5
"Nemaha County, Nebraska(6,10)",31127,***,2333.6 ,1962.6, 2753.3,29,stable,6.0 ,-12.5, 28.6
"Jefferson County, Montana(6,10)",30043,***,2333.1 ,2024.3, 2676.9,47,stable,-1.2 ,-15.8, 15.8
"Grayson County, Kentucky(7,8)",21085,***,2331.9 ,2125, 2553.7,96,stable,0.5 ,-0.9, 1.9
"Lonoke County, Arkansas(6,10)",05085,***,2331.6 ,2188.1, 2482.1,203,stable,-1.8 ,-5.7, 2.4
"Palo Alto County, Iowa(7,8)",19147,***,2330.4 ,2024.2, 2668.9,44,stable,-0.4 ,-1.2, 0.4
"Floyd County, Kentucky(7,8)",21071,***,2330.3 ,2155.7, 2515.5,138,falling,-1.5 ,-2.5, -0.5
"Poinsett County, Arkansas(6,10)",05111,***,2329.7 ,2123.2, 2551,96,stable,-0.6 ,-4.6, 3.5
"Cheatham County, Tennessee(6,10)",47021,***,2326.2 ,2134.2, 2531.2,117,falling,-8.6 ,-14.5, -2.3
"Kendall County, Illinois(6,10)",17093,***,2326.1 ,2193.2, 2465,244,stable,0.3 ,-6.3, 7.3
"White County, Arkansas(6,10)",05145,***,2325.7 ,2201.9, 2454.7,269,stable,-2.6 ,-7.7, 2.7
"Jennings County, Indiana(6,10)",18079,***,2325.5 ,2110.8, 2556.2,91,falling,-7.8 ,-14.7, -0.3
"Lewis County, Kentucky(7,8)",21135,***,2323.4 ,2049.1, 2624.7,53,stable,0.8 ,-0.6, 2.3
"Mountrail County, North Dakota(6,10)",38061,***,2322.7 ,1921.9, 2781.8,25,stable,9.3 ,-10.6, 33.8
"Clay County, West Virginia(6,10)",54015,***,2321.9 ,1995.4, 2686.4,37,stable,-2.1 ,-20.4, 20.4
"Belknap County, New Hampshire(6,10)",33001,***,2320.8 ,2195.3, 2451.6,268,stable,0.7 ,-3.2, 4.9
"Anderson County, Kentucky(7,8)",21005,***,2320.2 ,2078.9, 2581.9,70,stable,-1.0 ,-2.2, 0.2
"Union County, South Carolina(6,10)",45087,***,2319.8 ,2135, 2516.3,119,stable,1.1 ,-9.6, 13.0
"Van Buren County, Iowa(7,8)",19177,***,2318.6 ,1982.8, 2694.8,34,stable,0.1 ,-0.7, 0.9
"Price County, Wisconsin(6,10)",55099,***,2318.6 ,2085.1, 2571,73,stable,-0.1 ,-8.6, 9.1
"Creek County, Oklahoma(6,10)",40037,***,2317.2 ,2192.8, 2446.8,265,stable,-1.9 ,-10.8, 7.9
"Starke County, Indiana(6,10)",18149,***,2315.3 ,2100.6, 2546.1,88,stable,0.4 ,-6.6, 7.9
"McCreary County, Kentucky(7,8)",21147,***,2314.8 ,2046.8, 2608.8,58,stable,-0.3 ,-1.8, 1.3
"Grays Harbor County, Washington(7,8)",53027,***,2314.5 ,2198.1, 2435.5,307,falling,-0.6 ,-1.0, -0.3
"Hart County, Kentucky(7,8)",21099,***,2314 ,2071.3, 2577.7,68,stable,0.3 ,-1.5, 2.2
"Ransom County, North Dakota(6,10)",38073,***,2313 ,1907, 2777.9,25,stable,-13.6 ,-28.4, 4.3
"Kootenai County, Idaho(7,8)",16055,***,2312.1 ,2225.2, 2401.6,549,falling,-0.6 ,-1.1, -0.2
"Nome Census Area, Alaska(6,10)",02180,***,2311.4 ,1782, 2950.9,15,stable,-9.1 ,-32.5, 22.2
"Clallam County, Washington(7,8)",53009,***,2310.1 ,2213.5, 2409.9,439,stable,-0.2 ,-0.5, 0.1
"Carroll County, Tennessee(6,10)",47017,***,2309.3 ,2129.1, 2500.8,124,stable,6.2 ,-4.6, 18.3
"Bryan County, Georgia(7,8)",13029,***,2308.9 ,2077.4, 2559.4,77,stable,0.6 ,-1.0, 2.2
"Sangamon County, Illinois(6,10)",17167,***,2308.6 ,2231.7, 2387.6,702,stable,1.2 ,-3.0, 5.5
"Putnam County, Indiana(6,10)",18133,***,2308.4 ,2133.1, 2494.1,129,stable,3.5 ,-11.0, 20.3
"Linn County, Missouri(6,10)",29115,***,2307.8 ,2042.2, 2598,56,stable,-5.1 ,-16.6, 7.9
"Monona County, Iowa(7,8)",19133,***,2307.7 ,2022.7, 2621,49,stable,-0.1 ,-0.9, 0.6
"Knox County, Indiana(6,10)",18083,***,2307.6 ,2140.5, 2484.3,143,stable,-0.1 ,-11.5, 12.8
"Clearwater County, Idaho(7,8)",16035,***,2307.4 ,2022.6, 2621.1,48,stable,0.7 ,-1.5, 3.0
"Stillwater County, Montana(6,10)",30095,***,2307.1 ,1993.5, 2656.2,40,stable,6.5 ,-8.0, 23.4
"Beaver County, Utah(7,8)",49001,***,2307 ,1868.6, 2817,20,stable,0.4 ,-1.0, 1.8
"Washington County, Idaho(7,8)",16087,***,2306.8 ,2030.7, 2609.9,51,stable,-0.0 ,-1.6, 1.5
"Carroll County, Missouri(6,10)",29033,***,2306.7 ,2002.1, 2644.3,42,stable,1.4 ,-10.0, 14.2
"Warren County, New Jersey(7,8)",34041,***,2306.3 ,2203.5, 2412.6,391,falling,-0.9 ,-1.4, -0.4
"Gloucester County, Virginia(6,10)",51073,***,2306.2 ,2137.9, 2484.4,144,stable,-1.0 ,-8.3, 6.8
"St. Bernard Parish, Louisiana(7,8)",22087,***,2305.7 ,2101.7, 2524.3,98,stable,-0.5 ,-1.8, 0.7
"Newton County, Georgia(7,8)",13217,***,2305.5 ,2180.8, 2435.4,271,stable,0.3 ,-0.5, 1.1
"Nelson County, Kentucky(7,8)",21179,***,2304.8 ,2132.9, 2486.9,139,stable,-0.9 ,-2.2, 0.3
"Rolette County, North Dakota(6,10)",38079,***,2304 ,1968.9, 2680.1,35,stable,3.7 ,-14.2, 25.3
"Washburn County, Wisconsin(6,10)",55129,***,2303.6 ,2084.8, 2539.2,83,falling,-6.2 ,-10.9, -1.3
"Johnson County, Nebraska(6,10)",31097,***,2303.2 ,1882.2, 2789.6,22,stable,8.6 ,-3.6, 22.3
"Ocean County, New Jersey(7,8)",34029,***,2302.4 ,2265.1, 2340.2,2944,falling,-10.2 ,-14.1, -6.2
"Onondaga County, New York(7,8)",36067,***,2302.2 ,2251.7, 2353.5,1635,falling,-1.4 ,-2.1, -0.7
"Todd County, Kentucky(7,8)",21219,***,2302.2 ,2002.6, 2634.1,43,stable,1.1 ,-0.5, 2.7
"Mississippi County, Missouri(6,10)",29133,***,2302.2 ,2027.1, 2604.4,52,stable,6.4 ,-5.3, 19.7
"Fredericksburg City, Virginia(6,10)",51630,***,2301.5 ,2051.7, 2573.1,64,stable,-1.8 ,-10.3, 7.5
"Marion County, Illinois(6,10)",17121,***,2301.2 ,2144.2, 2466.6,163,stable,-1.9 ,-4.6, 0.8
"Van Buren County, Arkansas(6,10)",05141,***,2301.1 ,2097.2, 2519.4,94,stable,1.7 ,-19.2, 27.9
"Genesee County, New York(7,8)",36037,***,2300.6 ,2167.6, 2439.6,228,stable,-0.8 ,-1.5, 0.0
"Schuyler County, New York(7,8)",36097,***,2300.6 ,2072.1, 2547.3,75,stable,-0.7 ,-1.9, 0.4
"Faulk County, South Dakota(6,10)",46049,***,2300.4 ,1745.4, 2973.2,12,stable,-10.9 ,-25.4, 6.4
"West Baton Rouge Parish, Louisiana(7,8)",22121,***,2300.2 ,2065.2, 2554.8,72,stable,-1.0 ,-2.3, 0.3
"Hardin County, Iowa(7,8)",19083,***,2299.9 ,2080.1, 2536.4,83,stable,-0.4 ,-0.9, 0.0
"Grant County, Indiana(6,10)",18053,***,2299.6 ,2179.1, 2425,275,stable,0.9 ,-8.8, 11.6
"Wayne County, New York(7,8)",36117,***,2297 ,2187.7, 2410.3,341,stable,-0.7 ,-1.5, 0.1
"Putnam County, New York(7,8)",36079,***,2296.6 ,2185.3, 2412.1,332,falling,-1.2 ,-1.8, -0.6
"Elk County, Pennsylvania(6,10)",42047,***,2296.2 ,2131.3, 2470.4,146,stable,1.9 ,-13.4, 19.9
"Rosebud County, Montana(6,10)",30087,***,2296.1 ,1920.1, 2724.6,28,stable,-5.9 ,-27.6, 22.2
"Mason County, Kentucky(7,8)",21161,***,2295 ,2049.7, 2561.7,65,stable,-0.1 ,-1.4, 1.2
"Benton County, Indiana(6,10)",18007,***,2294.3 ,1952.8, 2678.1,33,falling,-6.1 ,-11.5, -0.3
"Cortland County, New York(7,8)",36023,***,2293.8 ,2137, 2459.1,163,stable,-0.8 ,-1.5, 0.0
"Okmulgee County, Oklahoma(6,10)",40111,***,2293.7 ,2131.9, 2464.4,151,stable,-1.4 ,-14.7, 14.0
"Harlan County, Kentucky(7,8)",21095,***,2292.4 ,2093.8, 2504.8,102,stable,-0.2 ,-1.6, 1.2
"Nelson County, Virginia(6,10)",51125,***,2292 ,2062.2, 2540.6,77,stable,-5.3 ,-13.3, 3.5
"Putnam County, Georgia(7)",13237,***,2291.5 ,2090.1, 2507.2,101,*,*,*,*
"Sussex County, Virginia(6,10)",51183,***,2291.3 ,1991.3, 2623.8,43,stable,6.7 ,-9.2, 25.4
"Albany County, New York(7,8)",36001,***,2291.2 ,2228.5, 2355.1,1056,stable,-0.0 ,-0.5, 0.4
"Clay County, Kentucky(7,8)",21051,***,2291 ,2040.5, 2564.2,64,stable,1.0 ,-0.8, 2.9
"Jefferson County, Illinois(6,10)",17081,***,2290.6 ,2129.1, 2461.1,152,stable,-1.8 ,-13.8, 12.0
